Well_index;WellName;Latitude;Longtitude;GeoJson;FieldID;OperatorID;WellAlias;WellType;WellUWI
446;BACHHO-BK04-424;9.73;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.73]}}";P227;VSP;BK4-424;INJ;09-1-BH-424
447;BACHHO-BK04-419;9.73;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.73]}}";P227;VSP;BK4-419;PRO;09-1-BH-419
448;BACHHO-BK03-413;9.77;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.77]}}";P227;VSP;BK3-413;PRO;09-1-BH-413
449;15-2-PHUONGDONG-1X;10.09;108.42;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.42,10.09]}}";P109;JVPC;15.2-PD-1X;EXP;15-2-PD-1X
45;02/97-THANGLONG-10XP;10.16;108.58;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.58,10.16]}}";P30;LAM_SON_JOC;TL-10XP;APP;02/97-TL-10XP
450;01-RUBY-2X (B);10.36;108.46;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.46,10.36]}}";P10;PCVL;01-RB-2;EXP;01-B-2X
451;01-RUBY-3X (B);10.41;108.52;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.52,10.41]}}";P10;PCVL;01-RB-3;APP;01-B-3X
452;01-EMERALD-1X (P);10.3;108.48;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.48,10.3]}}";P7;PCVL;01-EMERAL-1X;EXP;01-EM-1X
453;01-OPAL-1X (M);9.98;108.55;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.55,9.98]}}";P24;PCVL;02-OPAL-1X;EXP;01-M-1X
454;RONG-105;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-105;PRO;09-1-RP01-105
455;RONG-115;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-115;PRO;09-1-RP01-115
456;RONG-112;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-112;PRO;09-1-RP01-112
457;RONG-107;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-107;PRO;09-1-RP01-107
458;BACHHO-MSP08-811;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-811;PRO;09-1-BH-811
459;BACHHO-MSP09-910;9.79;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.79]}}";P227;VSP;MSP-9-910;PRO;09-1-BH-910
46;01-DIAMOND-5P;10.53;108.48;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.48,10.53]}}";P6;PCVL;DM-5P;PRO;01-DM-5P
460;BACHHO-MSP09-903;9.79;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.79]}}";P227;VSP;MSP-9-903;PRO;09-1-BH-903
461;BACHHO-MSP08-813;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-813;PRO;09-1-BH-813
462;BACHHO-MSP08-806;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-806;PRO;09-1-BH-806
463;BACHHO-MSP06-80;9.83;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.83]}}";P227;VSP;MSP-6-80;PRO;09-1-BH-80
464;BACHHO-MSP-10--109;9.8;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.8]}}";P227;VSP;MSP-10-109;PRO;09-1-BH--109
465;BACHHO-MSP06-81;9.83;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.83]}}";P227;VSP;MSP-6-81;PRO;09-1-BH-81
466;BACHHO-MSP-10-1004;9.8;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.8]}}";P227;VSP;MSP-10-1004;INJ;09-1-BH-1004
467;BACHHO-BK05-425;9.74;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.74]}}";P227;VSP;BK5-425;INJ;09-1-BH-425
