"importsequencenumber","cr286_record_id","cr286_remarks","cr286_seismic_2d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vessel_id","cr286_vpins_2d_seismic_vesselid","owningbusinessunit"
"","R000057","","D2TCVM2","1","0","","","2404345","SV_PROF_POLSHKOV","4baf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000056","","D2CL14","1","0","","","2404344","MV_WESTERN_LEGEND","47af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000054","","D2NCS20","1","0","","","2404343","RV_VERITAS_RESEARCHER","49af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000055","","D2MTC5","1","0","","","2404342","PTSC_RESEARCHER","4aaf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000053","","D2NCS19","1","0","","","2404341","MV_ROSS_SEAL","48af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000049","","D2PK8","1","0","","","2404340","SV_BINH_MINH_02","43af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000051","","D2NCS17","1","0","","","2404339","MV_ROSS_SEAL","46af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000052","","D2NCS18","1","0","","","2404338","SV_STORMY","44af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000050","","D2NCS16","1","0","","","2404337","SV_STORMY","45af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000046","","D2SH7","1","0","","","2404336","SV_ODYSSEE","41af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000047","","D2SH8","1","0","","","2404335","CGG_DUKE","40af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000048","","D2PK7","1","0","","","2404334","","42af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000045","","D2SH6","1","0","","","2404333","SV_ODYSSEE","3faf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000041","","D2PK4","1","0","","","2404332","ZEPHYR_1","3caf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000043","","D2PK6","1","0","","","2404331","ZEPHYR_1","3baf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000042","","D2PK5","1","0","","","2404330","ZEPHYR_1","3eaf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000044","","D2MTC4","1","0","","","2404329","RV_BINH_MINH_02","3daf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000040","","D2PK3","1","0","","","2404328","AK_GAMBURTSEV","39af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000037","","D2SH4","1","0","","","2404327","CGG_AMADEUS","3aaf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000038","","D2SH5","1","0","","","2404326","SV_BINH_MINH_02","38af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000039","","D2CL13","1","0","","","2404325","PROF_POLSHKOV","37af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000035","","D2NCS14","1","0","","","2404324","MV_POLSHKOV","36af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000034","","D2NCS13","1","0","","","2404323","RV_VERITAS_RESEARCHER","35af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000036","","D2NCS15","1","0","","","2404322","MV_GEO_EXP","34af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000033","","D2NCS12","1","0","","","2404321","MV_ZEPHYR_I","33af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000032","","D2CL12","1","0","","","2404320","MN_WESTERN_HORIZON","31af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000029","","D2SH3","1","0","","","2404319","RV_BINH_MINH_02","32af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000031","","D2CL11","1","0","","","2404318","MV_STORMY","2faf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000030","","D2TCVM1","1","0","","","2404317","RV_BINH_MINH_02","30af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000027","Viet - Trung - Phi","D2CL10","1","0","","","2404316","MV_NAM_HAI_502","2eaf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000025","","D2NCS10","1","0","","","2404315","CGG_ZEPHYR","2daf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000028","","D2PK2","1","0","","","2404314","SV_BINH_MINH_02","2caf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000026","","D2NCS11","1","0","","","2404313","","2baf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000023","","D2NCS8","1","0","","","2404312","CGG_ZEPHYR","29af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000021","","D2MTC3","1","0","","","2404311","GECO_MY","27af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000024","","D2NCS9","1","0","","","2404310","GECO_KAPPA","28af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000022","","D2NCS7","1","0","","","2404309","CGG_ZEPHYR","2aaf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000017","","D2MTC1","1","0","","","2404308","AMARCO_TIGER","25af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000018","","D2MTC2","1","0","","","2404307","AMARCO_TIGER","26af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000020","","D2SH2","1","0","","","2404306","","24af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000019","","D2PK1","1","0","","","2404305","BINH_MINH_02","23af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000013","","D2NCS3","1","0","","","2404304","SEA_CHALLENGER","22af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000014","","D2NCS4","1","0","","","2404303","SEA_CHALLENGER","21af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000016","","D2NCS6","1","0","","","2404302","PACIFIC_SWORD","1faf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
