"importsequencenumber","cr286_record_id","cr286_remarks","cr286_seismic_2d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vessel_id","cr286_vpins_2d_seismic_vesselid","owningbusinessunit"
"","R000015","","D2NCS5","1","0","","","2404301","CGG_DUKE","20af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000010","","D2CL9","1","0","","","2404300","SEA_CHALLENGER","1daf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000012","","D2SH1","1","0","","","2404299","GECO_KAPPA","1eaf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000009","","D2CL8","1","0","","","2404298","SEA_CHALLENGER","1baf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000011","","D2NCS2","1","0","","","2404297","SEA_CHALLENGER","1caf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000006","","D2CL6","1","0","","","2404296","","19af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000007","","D2CL7","1","0","","","2404295","","17af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000008","","D2NCS1","1","0","","","2404294","LONGVA_II","18af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000005","","D2CL5","1","0","","","2404293","VERITAS_SEARCHER","1aaf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000003","OBC (Shallow Marine Environtment)","D2CL3","1","0","","","2404291","","15af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000002","Land and Transition Zone","D2CL2","1","0","","","2404290","","13af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000004","","D2CL4","1","0","","","2404289","BERGEN_SURVEYOR","16af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000001","","D2CL1","1","0","","","2404288","LONGVA_II","14af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
