"cr286_contractor_id","importsequencenumber","cr286_record_id","cr286_remarks","cr286_seismic_3d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_contractorid","owningbusinessunit"
"GECO_PRAKLA","","R000061","","D3NCS15","1","0","","","2405379","ded4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"FURGO_GEO","","R000062","","D3NCS16","1","0","","","2405378","dcd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"FURGO_GEO","","R000063","","D3NCS17","1","0","","","2405377","ddd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WESTERN_GECO","","R000059","","D3NCS13","1","0","","","2405375","dbd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PGS","","R000058","","D3NCS12","1","0","","","2405374","d9d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"GECO","","R000057","","D3NCS11","1","0","","","2405373","d8d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WESTERN_GECO","","R000060","","D3NCS14","1","0","","","2405372","dad4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"GARDLINE_SURVEYS","","R000055","","D3NCS9","1","0","","","2405371","d7d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WESTERN_GEO","","R000054","","D3NCS8","1","0","","","2405370","d5d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PGS","","R000053","","D3MTC9","1","0","","","2405369","d6d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"GECO","","R000056","","D3NCS10","1","0","","","2405368","d4d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CGG_VERITAS_AP","","R000050","","D3MTC8","1","0","","","2405367","d3d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PGS","","R000051","","D3NCS7","1","0","","","2405366","d2d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CGG_VERITAS_AP","","R000049","","D3MTC7","1","0","","","2405365","d0d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PTSC_CGGV","","R000052","","D3PK1","1","0","","","2405364","d1d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CGG_ELNUSA_FINDER","","R000047","","D3MTC5","1","0","","","2405363","cfd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
