"cr286_crs_id","importsequencenumber","cr286_point_id","cr286_point_name","cr286_seismic_3d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_coordinateid","cr286_x","cr286_y","owningbusinessunit"
"WGS84_UTM_ZONE_48N","","R000042","Coordinate of Point 1","D3MTC9","1","0","","","2405421","08d5e406-d0fa-ee11-9f89-000d3aa02f9f","418117","770126","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000039","Coordinate of Point 1","D3MTC8","1","0","","","2405420","03d5e406-d0fa-ee11-9f89-000d3aa02f9f","347512","841262","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000038","Coordinate of Point 1","D3MTC7","1","0","","","2405419","04d5e406-d0fa-ee11-9f89-000d3aa02f9f","345691","825107","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000040","Coordinate of Point 1","D3NCS7","1","0","","","2405418","06d5e406-d0fa-ee11-9f89-000d3aa02f9f","665674","836401","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000037","Coordinate of Point 1","D3MTC6","1","0","","","2405417","05d5e406-d0fa-ee11-9f89-000d3aa02f9f","302165","880394","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000036","Coordinate of Point 1","D3MTC5","1","0","","","2405416","00d5e406-d0fa-ee11-9f89-000d3aa02f9f","341340","852494","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000035","Coordinate of Point 1","D3MTC4","1","0","","","2405415","01d5e406-d0fa-ee11-9f89-000d3aa02f9f","289256","873923","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000034","Coordinate of Point 1","D3MTC3","1","0","","","2405414","ffd4e406-d0fa-ee11-9f89-000d3aa02f9f","393492","777703.13","bdc98465-7de8-ee11-a203-00224856dfbe"
"EVEREST_1830_UTM_48","","R000033","Coordinate of Point 1","D3MTC1","1","0","","","2405413","02d5e406-d0fa-ee11-9f89-000d3aa02f9f","249718","935116","bdc98465-7de8-ee11-a203-00224856dfbe"
"EVEREST_1830_TM_106","","R000031","Coordinate of Point 1","D3CL36","1","0","","","2405412","fcd4e406-d0fa-ee11-9f89-000d3aa02f9f","659390","1058026","bdc98465-7de8-ee11-a203-00224856dfbe"
"EVEREST_1830_TM_106","","R000029","Coordinate of Point 1","D3CL32","1","0","","","2405411","fbd4e406-d0fa-ee11-9f89-000d3aa02f9f","706883","1034919","bdc98465-7de8-ee11-a203-00224856dfbe"
"EVEREST_1830_TM_106","","R000030","Coordinate of Point 1","D3CL35","1","0","","","2405410","fed4e406-d0fa-ee11-9f89-000d3aa02f9f","721778","1062374","bdc98465-7de8-ee11-a203-00224856dfbe"
