"cr286_block_id","importsequencenumber","cr286_record_id","cr286_remarks","cr286_seismic_3d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_blockid","owningbusinessunit"
"CL5","","R000082","","D3CL41","1","0","","","2405315","9fd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL5","","R000084","","D3CL42","1","0","","","2405314","9ed4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL36","","R000081","","D3CL40","1","0","","","2405313","9dd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS12","","R000083","","D3NCS19","1","0","","","2405312","9cd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL4","","R000079","","D3CL38","1","0","","","2405311","99d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL36","","R000080","","D3CL39","1","0","","","2405310","9bd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL7","","R000077","","D3CL38","1","0","","","2405309","98d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL3","","R000078","","D3CL38","1","0","","","2405308","9ad4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL16","","R000076","","D3CL37","1","0","","","2405307","97d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS38","","R000073","","D3NCS17","1","0","","","2405306","96d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS37","","R000074","","D3NCS18","1","0","","","2405305","95d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC11","","R000075","","D3MTC10","1","0","","","2405304","94d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS37","","R000072","","D3NCS17","1","0","","","2405303","92d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS7","","R000070","","D3NCS15","1","0","","","2405302","91d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS7","","R000069","","D3NCS14","1","0","","","2405301","93d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS7","","R000071","","D3NCS16","1","0","","","2405300","90d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS4","","R000067","","D3NCS12","1","0","","","2405299","8fd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS7","","R000068","","D3NCS13","1","0","","","2405298","8ed4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS7","","R000065","","D3NCS10","1","0","","","2405297","8dd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS37","","R000066","","D3NCS11","1","0","","","2405296","8cd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS7","","R000064","","D3NCS9","1","0","","","2405295","8ad4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK3","","R000061","","D3PK1","1","0","","","2405294","8bd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC14","","R000062","","D3MTC9","1","0","","","2405293","89d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS6","","R000063","","D3NCS8","1","0","","","2405292","88d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","R000059","","D3NCS7","1","0","","","2405291","87d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","R000060","","D3NCS7","1","0","","","2405290","85d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC5","","R000058","","D3MTC8","1","0","","","2405289","84d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC7","","R000057","","D3MTC7","1","0","","","2405288","86d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC14","","R000053","","D3MTC3","1","0","","","2405287","83d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC20","","R000056","","D3MTC6","1","0","","","2405286","81d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC20","","R000054","","D3MTC4","1","0","","","2405285","80d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC19","","R000055","","D3MTC5","1","0","","","2405284","82d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC11","","R000052","","D3MTC2","1","0","","","2405283","7cd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS1","","R000050","","D3NCS6","1","0","","","2405282","7dd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC12","","R000051","","D3MTC1","1","0","","","2405281","7ed4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL19","","R000049","","D3CL36","1","0","","","2405280","7fd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL5","","R000047","","D3CL34","1","0","","","2405279","7ad4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL5","","R000045","","D3CL32","1","0","","","2405278","78d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL5","","R000048","","D3CL35","1","0","","","2405277","7bd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL5","","R000046","","D3CL33","1","0","","","2405276","79d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS27","","R000042","Area A","D3NCS3","1","0","","","2405275","76d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS27","","R000044","Area C","D3NCS3","1","0","","","2405274","75d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS27","","R000041","","D3NCS2","1","0","","","2405273","77d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS27","","R000043","Area B","D3NCS3","1","0","","","2405272","74d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL5","","R000040","","D3CL31","1","0","","","2405271","70d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL5","","R000039","","D3CL30","1","0","","","2405270","73d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL19","","R000038","","D3CL29","1","0","","","2405269","72d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL13","","R000037","","D3CL28","1","0","","","2405268","71d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL13","","R000036","","D3CL27","1","0","","","2405267","6ed4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL4","","R000034","","D3CL26","1","0","","","2405266","6fd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL47","","R000035","","D3CL26","1","0","","","2405265","6cd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL3","","R000033","","D3CL26","1","0","","","2405264","6dd4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL3","","R000029","","D3CL24","1","0","","","2405263","69d4e406-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
